view_index,AUSE,¦¤MAE,¦¤PSNR,SpearmanR,AUROC
0,0.0063787231314927344,-0.0003583897,-0.00557596989229836,0.04957684959901707,0.5347194823539518
1,0.007647015526890755,-0.0007781647,0.43021258356789716,0.07982804950342288,0.5512885838995384
2,0.007450892608612775,-0.00018284377,0.04763442511976024,0.028801283174438384,0.5274001838355936
3,0.007583960387855767,-0.0007379083,0.06526145474278167,0.08554483305903778,0.551598268279866
4,0.007174633666872978,-0.00053221453,0.40077641277351717,0.0610465798634659,0.5293659667271399
5,0.00805734045803547,-0.00028455444,0.25830602036068484,0.02384143790899681,0.5154230780582256
6,0.009496913133189082,3.1065196e-05,0.01766443727552769,-0.013342859694581606,0.5017263318070958
7,0.01102069818414748,0.00045054033,-0.13252619284268619,-0.030419684331158926,0.4917861690765047
8,0.007639048611745238,-8.666981e-05,0.04961822394549387,-0.016470846001943564,0.5119220954384106
9,0.008314795000478626,-0.000154173,0.1253035692772002,0.0148089554159291,0.5136622601283988
